Tag,Files included,Percentage,Total occurrences
sponsors,1000,100.0%,1000
eligibility,1000,100.0%,1000
criteria,1000,100.0%,1000
nct_id,1000,100.0%,1000
url,1000,100.0%,1238
last_update_posted,1000,100.0%,1000
gender,1000,100.0%,1000
study_first_submitted_qc,1000,100.0%,1000
required_header,1000,100.0%,1000
lead_sponsor,1000,100.0%,1000
download_date,1000,100.0%,1000
id_info,1000,100.0%,1000
agency,1000,100.0%,1670
last_update_submitted,1000,100.0%,1000
link_text,1000,100.0%,1000
last_update_submitted_qc,1000,100.0%,1000
agency_class,1000,100.0%,1670
source,1000,100.0%,1000
clinical_study,1000,100.0%,1000
study_first_submitted,1000,100.0%,1000
study_first_posted,1000,100.0%,1000
brief_summary,1000,100.0%,1000
condition,1000,100.0%,1740
maximum_age,1000,100.0%,1000
verification_date,1000,100.0%,1000
org_study_id,1000,100.0%,1000
overall_status,1000,100.0%,1000
study_type,1000,100.0%,1000
minimum_age,1000,100.0%,1000
brief_title,1000,100.0%,1000
healthy_volunteers,991,99.1%,991
mesh_term,985,98.5%,3430
start_date,975,97.5%,975
condition_browse,969,96.9%,969
study_design_info,964,96.4%,964
has_expanded_access,959,95.9%,959
official_title,953,95.3%,953
enrollment,944,94.4%,944
country,923,92.3%,12272
completion_date,905,90.5%,905
city,888,88.8%,10507
address,888,88.8%,10507
location_countries,888,88.8%,888
facility,888,88.8%,10508
location,888,88.8%,10508
last_name,888,88.8%,1652
overall_official,884,88.4%,1303
affiliation,880,88.0%,1298
role,877,87.7%,1388
name,868,86.8%,9751
keyword,830,83.0%,4570
intervention_type,817,81.7%,1696
intervention_name,817,81.7%,1696
intervention,817,81.7%,1696
primary_outcome,802,80.2%,1287
measure,802,80.2%,7473
zip,796,79.6%,7933
phase,760,76.0%,760
responsible_party,748,74.8%,748
primary_completion_date,739,73.9%,739
primary_purpose,737,73.7%,737
detailed_description,732,73.2%,732
masking,708,70.8%,708
allocation,707,70.7%,707
intervention_model,691,69.1%,691
description,681,68.1%,16926
state,680,68.0%,6837
time_frame,659,65.9%,6133
oversight_info,634,63.4%,634
has_dmc,623,62.3%,623
arm_group,610,61.0%,1356
arm_group_label,610,61.0%,3189
secondary_outcome,596,59.6%,2927
responsible_party_type,533,53.3%,533
arm_group_type,503,50.3%,1138
number_of_arms,503,50.3%,503
intervention_browse,469,46.9%,469
organization,422,42.2%,438
secondary_id,393,39.3%,667
collaborator,387,38.7%,670
citation,303,30.3%,1392
PMID,296,29.6%,1309
phone,274,27.4%,418
email,266,26.6%,423
other_name,259,25.9%,879
count,225,22.5%,18969
group_list,225,22.5%,2928
results_first_posted,225,22.5%,225
milestone,225,22.5%,915
baseline,225,22.5%,225
results_first_submitted,225,22.5%,225
analyzed,225,22.5%,5576
milestone_list,225,22.5%,280
clinical_results,225,22.5%,225
results_first_submitted_qc,225,22.5%,225
pi_employee,225,22.5%,225
group,225,22.5%,8034
type,225,22.5%,2287
point_of_contact,225,22.5%,225
category,225,22.5%,13597
scope,225,22.5%,5576
name_or_title,225,22.5%,225
period,225,22.5%,280
category_list,225,22.5%,9371
count_list,225,22.5%,5576
title,225,22.5%,27784
certain_agreements,225,22.5%,225
class_list,225,22.5%,3054
outcome_list,225,22.5%,225
measure_list,225,22.5%,225
units,225,22.5%,8627
participants_list,225,22.5%,1700
analyzed_list,225,22.5%,5505
participants,225,22.5%,4997
outcome,225,22.5%,2287
participant_flow,225,22.5%,225
class,225,22.5%,8931
period_list,225,22.5%,225
reported_events,224,22.4%,224
other_events,224,22.4%,224
event,224,22.4%,14323
